uid,domainID,siteID,namedLocation,date,eventID,sampleDepth,waterTemp,specificConductance,dissolvedOxygen,dissolvedOxygenSaturation,dataQF,publicationDate,release
f532b2ba-a619-43ef-b8db-477dbf008785,D03,BARC,BARC.AOS.buoy.c0,2015-04-07T16:00Z,BARC.c0.20150407,0.5,23.9,54.1,,91.7,,20211221T225714Z,RELEASE-2022
7b0df8c9-0dc3-4bd9-8d95-a53578ff7b70,D03,BARC,BARC.AOS.buoy.c0,2015-04-07T16:00Z,BARC.c0.20150407,2,23.8,53.9,,94.1,,20211221T225714Z,RELEASE-2022
85be5cf6-8a0c-4d93-b937-2f907f3735b6,D03,BARC,BARC.AOS.buoy.c0,2015-04-07T16:00Z,BARC.c0.20150407,1.5,23.8,53.9,,93,,20211221T225714Z,RELEASE-2022
acc18768-d175-44b5-a3ab-fca78454f72a,D03,BARC,BARC.AOS.buoy.c0,2015-04-07T16:00Z,BARC.c0.20150407,1,23.8,54,,91.8,,20211221T225714Z,RELEASE-2022
28f14265-9b9b-4f0c-9d52-c6ad104fa3ff,D03,BARC,BARC.AOS.buoy.c0,2015-04-07T16:00Z,BARC.c0.20150407,3.5,23.8,53.8,,94.1,,20211221T225714Z,RELEASE-2022
34f755a7-2ddf-41f6-90da-d03b8a2de3ae,D03,BARC,BARC.AOS.buoy.c0,2015-04-07T16:00Z,BARC.c0.20150407,3,23.8,53.8,,93.8,,20211221T225714Z,RELEASE-2022
11195ba5-e6a5-4ae0-9970-617872bde86f,D03,BARC,BARC.AOS.buoy.c0,2015-04-07T16:00Z,BARC.c0.20150407,2.5,23.8,53.9,,94,,20211221T225714Z,RELEASE-2022
d3fd68f4-ea9e-4778-881e-5b46970842ea,D03,BARC,BARC.AOS.buoy.c0,2015-05-20T16:00Z,BARC.c0.20150520,4,28.9,57.5,,75,,20211221T195347Z,RELEASE-2022
f4a14e1c-4bd2-4dc4-a6cd-1e2a26249701,D03,BARC,BARC.AOS.buoy.c0,2015-05-20T16:00Z,BARC.c0.20150520,4.5,28.9,57.5,,70,,20211221T195347Z,RELEASE-2022
8c1334b0-3915-428c-86a7-516b9e6e1fbe,D03,BARC,BARC.AOS.buoy.c0,2015-05-20T16:00Z,BARC.c0.20150520,3,28.9,57.4,,72.8,,20211221T195347Z,RELEASE-2022
