OrganizationFormalName,MonitoringLocationIdentifier,sampledate,lagos_sampledepth,"Nitrogen, NH4","Nitrogen, dissolved Kjeldahl","Nitrogen, total","Nitrogen, total Kjeldahl","Arsenic, dissolved","Arsenic, total","Phosphorus, soluble reactive orthophosphate","Phosphorus, total","Nitrogen, nitrite (NO2) + nitrate (NO3)","Carbon, dissolved organic","Carbon, total organic","Nitrogen, total dissolved","Selenium, dissolved","Selenium, total","Aluminum, dissolved","Aluminum, total","Mercury, total dissolved","Mercury, total"
USGS Washington Water Science Center,USGS-12057000,1979-07-12,15.24,NA,NA,NA,NA,NA,NA,48.921,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12057000,1979-07-12,30.48,NA,NA,NA,NA,NA,NA,39.136799999999994,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12058600,1979-07-12,0.3048,NA,NA,NA,NA,NA,NA,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12058600,1979-07-12,6.096,NA,NA,NA,NA,NA,NA,40,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12058600,1979-07-12,15.24,NA,NA,NA,NA,NA,NA,29.3526,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14234800,1979-08-07,0.3048,NA,NA,NA,NA,NA,NA,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14234800,1979-08-07,6.096,NA,NA,NA,NA,NA,NA,29.3526,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14237800,1979-08-07,0.3048,NA,NA,NA,NA,NA,NA,29.3526,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12085000,1979-08-08,30.48,NA,NA,NA,NA,NA,NA,29.3526,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-404333122243600,1979-08-14,80,NA,400,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Montana Water Science Center,USGS-485000107373001,1979-08-16,0,NA,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,830,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-383048122061601,1979-08-23,0.9144000000000001,NA,820,190,190,NA,NA,NA,NA,NA,NA,NA,850,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-383332122122401,1979-08-23,0.9144000000000001,NA,180,100,50,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-345802095372401,1979-08-30,0.9144000000000001,2400,890,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-350046095385301,1979-08-30,0.9144000000000001,25000,610000,970,620,NA,NA,66000,81.535,NA,NA,NA,610000,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-350046095385301,1979-08-30,9.144,NA,NA,1500,NA,NA,NA,NA,NA,2260,NA,NA,3100,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14234800,1979-09-11,0.3048,NA,NA,NA,NA,NA,NA,30,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14234800,1979-09-11,91.44,NA,NA,NA,NA,NA,NA,30,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
