combined_name,depths,no_depths,proport_depth,depth_75,sd_depth
USGS Colorado Water Science Center USGS - Colorado Water Science Center,5193,311,5.65,19.8,19.1
"USGS Colorado Water Science Center USGS-National Water Quality Lab, Denver, CO",278,121,30.33,2.7,5.89
USGS Connecticut Water Science Center NA,2262,264,10.45,3,2.79
USGS Connecticut Water Science Center U.S. Geological Survey,0,1,100,NA,NA
USGS Connecticut Water Science Center U.S. Geological Survey-Water Resources Discipline,2242,1227,35.37,0.9,2.85
"USGS Connecticut Water Science Center USGS-Atlanta Central Laboratory, GA",0,225,100,NA,NA
USGS Florida Water Science Center Florida Department of Pollution Control,159,6,3.64,1.7,0.5
USGS Florida Water Science Center NA,2233,2945,56.88,0.3,0.47
USGS Florida Water Science Center Organization other than U.S. Geological Survey,29,29,50,0.6,0.19
USGS Florida Water Science Center U.S. Geological Survey-Water Resources Discipline,1916,6025,75.87,0.9,0.43
USGS Florida Water Science Center USGS - Florida Water Science Center,23,141,85.98,0.3,1.67
"USGS Florida Water Science Center USGS-Atlanta Central Laboratory, GA",112,199,63.99,0.3,0.43
"USGS Florida Water Science Center USGS-District Water-Quality Lab, Ocala, Florida",38,100,72.46,0.3,0.12
USGS Georgia Water Science Center NA,2065,748,26.59,15.2,10.57
USGS Georgia Water Science Center U.S. Geological Survey-Water Resources Discipline,3246,2618,44.65,8,5.69
USGS Idaho Water Science Center NA,1349,418,23.66,91.4,41.31
USGS Idaho Water Science Center U.S. Geological Survey-Water Resources Discipline,12955,2183,14.42,30,38.48
USGS Illinois Water Science Center NA,86,11,11.34,0.1,1.59
USGS Illinois Water Science Center U.S. Geological Survey-Water Resources Discipline,1029,100,8.86,10,7.43
USGS Indiana Water Science Center NA,58,323,84.78,2.5,1.11
USGS Indiana Water Science Center U.S. Geological Survey-Water Resources Discipline,288,428,59.78,6.9,4.13
USGS Iowa Water Science Center Organization other than U.S. Geological Survey,0,231,100,NA,NA
USGS Iowa Water Science Center U.S. Geological Survey-Water Resources Discipline,2587,587,18.49,0.3,0.53
"USGS Kansas Water Science Center Kansas State Biological Survey, Lawrence, KS",126,102,44.74,0.5,0.08
USGS Kansas Water Science Center NA,13,11,45.83,8.2,2.28
USGS Kansas Water Science Center U.S. Geological Survey-Water Resources Discipline,3179,1592,33.37,5.5,4.32
USGS Kansas Water Science Center USGS - Kansas Water Science Center,1695,3569,67.8,2.4,1.59
USGS Kentucky Water Science Center U.S. Geological Survey-Water Resources Discipline,106,74,41.11,2.3,1.88
USGS Kentucky Water Science Center USGS - Kentucky Water Science Center,0,20,100,NA,NA
USGS Louisiana Water Science Center NA,1687,6332,78.96,4.6,4.02
USGS Louisiana Water Science Center U.S. Corps of Engineers,0,81,100,NA,NA
USGS Louisiana Water Science Center U.S. Geological Survey,1173,842,41.79,2.3,2.24
USGS Louisiana Water Science Center U.S. Geological Survey-Water Resources Discipline,3990,15331,79.35,0.2,1.19
"USGS Louisiana Water Science Center USGS-Atlanta Central Laboratory, GA",453,485,51.71,1.2,0
"USGS Louisiana Water Science Center USGS-National Water Quality Lab, Denver, CO",0,11,100,NA,NA
"USGS Maine Water Science Center Maine, Dept. of Environmental Protection",78,285,78.51,15,234.74
USGS Maine Water Science Center NA,0,1,100,NA,NA
USGS Maine Water Science Center U.S. Geological Survey-Water Resources Discipline,6717,12,0.18,6.1,7.8
USGS Maryland Water Science Center U.S. Geological Survey-Water Resources Discipline,0,59,100,NA,NA
USGS Massachusetts Water Science Center NA,0,83,100,NA,NA
USGS Massachusetts Water Science Center U.S. Geological Survey,0,11,100,NA,NA
USGS Massachusetts Water Science Center U.S. Geological Survey-Water Resources Discipline,1854,1843,49.85,4.5,6.21
USGS Massachusetts Water Science Center USGS - Massachusetts-Rhode Island Water Science Center,0,3,100,NA,NA
USGS Michigan Water Science Center NA,632,17,2.62,0.9,2.55
USGS Michigan Water Science Center Organization other than U.S. Geological Survey,3,170,98.27,0.9,0
USGS Michigan Water Science Center U.S. Geological Survey-Water Resources Discipline,22473,3024,11.86,6.1,6.75
USGS Michigan Water Science Center U.S. National Park Service,48,363,88.32,0,0
USGS Michigan Water Science Center USGS - Minnesota Water Science Center,0,3,100,NA,NA
"USGS Michigan Water Science Center USGS-Atlanta Central Laboratory, GA",48,380,88.79,0.6,0.34
USGS Minnesota Water Science Center NA,3351,1897,36.15,1.8,2.34
"USGS Minnesota Water Science Center Natural Resources Research Institute, Duluth, MN",1,3,75,0,NA
USGS Minnesota Water Science Center Organization other than U.S. Geological Survey,352,59,14.36,11.5,5.37
USGS Minnesota Water Science Center U.S. Environmental Protection Agency,0,32,100,NA,NA
USGS Minnesota Water Science Center U.S. Geological Survey-Water Resources Discipline,9683,3028,23.82,7,4.89
USGS Minnesota Water Science Center U.S. National Park Service,1528,437,22.24,1.3,8.78
USGS Minnesota Water Science Center USGS - Minnesota Water Science Center,3315,147,4.25,7,6.89
"USGS Minnesota Water Science Center USGS-Atlanta Central Laboratory, GA",1013,179,15.02,7.6,3.61
USGS Mississippi Water Science Center U.S. Geological Survey-Water Resources Discipline,420,129,23.5,0.9,0.45
"USGS Mississippi Water Science Center USGS-Atlanta Central Laboratory, GA",0,8,100,NA,NA
USGS Missouri Water Science Center NA,31,12,27.91,2.4,1.67
USGS Missouri Water Science Center U.S. Corps of Engineers,187,7,3.61,7.6,9.91
USGS Missouri Water Science Center U.S. Geological Survey,88,141,61.57,0.3,0.07
USGS Missouri Water Science Center U.S. Geological Survey-Water Resources Discipline,2240,3462,60.72,3.7,7.83
USGS Montana Water Science Center U.S. Geological Survey-Water Resources Discipline,13457,714,5.04,38.4,31.2
"USGS Montana Water Science Center USGS-National Water Quality Lab, Denver, CO",682,54,7.34,73.7,35.85
USGS Nebraska Water Science Center U.S. Geological Survey-Water Resources Discipline,2702,329,10.85,0,0.24
USGS Nevada Water Science Center NA,2184,624,22.22,83.8,46.15
USGS Nevada Water Science Center U.S. Geological Survey-Water Resources Discipline,2264,1181,34.28,10,14.18
USGS Nevada Water Science Center USGS - Nevada Water Science Center,280,6,2.1,7.3,3.96
USGS New Hampshire Water Science Center U.S. Geological Survey-Water Resources Discipline,3836,113,2.86,17.1,12.49
USGS New Jersey Water Science Center NA,49,11,18.33,1.5,7.3
USGS New Jersey Water Science Center New Jersey Department of Environmental Protection(DEP),198,248,55.61,0.3,0
USGS New Jersey Water Science Center U.S. Geological Survey,0,26,100,NA,NA
USGS New Jersey Water Science Center U.S. Geological Survey-Water Resources Discipline,686,144,17.35,3.7,1.65
USGS New Jersey Water Science Center USGS - New Jersey Water Science Center,0,2,100,NA,NA
USGS New Mexico Water Science Center NA,591,48,7.51,10.7,5.49
