SITE_ID,VISIT_NO,INDEX_LAT_DD,INDEX_LON_DD,UID
NLA06608-0764,1,41.21711,-101.66532,NA
NLA06608-0765,1,40.161464,-79.051693,NA
NLA06608-0766,1,47.07293,-98.58292,NA
NLA06608-0769,1,47.46845,-116.60624,NA
NLA06608-0770,1,33.376389,-111.920556,NA
NLA06608-0771,1,46.43556,-93.95258,NA
NLA06608-0775,1,31.777222,-99.486389,NA
NLA06608-0779,1,43.73625,-97.61163,NA
NLA06608-0781,1,40.953652,-74.783611,NA
NLA06608-0782,1,47.978333,-90.753611,NA
NLA06608-0783,1,40.37969,-84.32757,NA
NLA06608-0785,1,46.872905,-119.576823,NA
NLA06608-0792,1,33.086667,-96.980556000000007,NA
NLA06608-0793,1,37.6243,-81.10471,NA
NLA06608-0794,1,42.93461,-109.82038,NA
NLA06608-0794,2,42.93478,-109.82025,NA
NLA06608-0797,1,39.46749,-114.85873,NA
NLA06608-0802,1,42.703063,-71.92459,NA
NLA06608-0804,1,37.070096,-87.662877,NA
NLA06608-0805,1,41.89722,-73.44657,NA
NLA06608-0806,1,44.32551,-72.32979,NA
NLA06608-0807,1,45.45215,-97.66769,NA
NLA06608-0808,1,37.80588,-94.2084,NA
NLA06608-0809,1,34.274141,-110.073277,NA
NLA06608-0811,1,41.585833,-84.937222,NA
NLA06608-0812,1,31.892222,-90.601667,NA
NLA06608-0815,1,32.07138,-84.29266,NA
NLA06608-0820,1,36.042112,-85.590129,NA
NLA06608-0823,1,45.489444,-92.411944,NA
NLA06608-0824,1,36.70026,-96.41072,NA
NLA06608-0825,1,37.650253,-113.523849,NA
NLA06608-0827,1,39.9942,-105.11185,NA
NLA06608-0828,1,33.13902,-90.357222,NA
NLA06608-0830,1,47.31447,-99.4093,NA
NLA06608-0831,1,35.06348,-82.68158,NA
NLA06608-0833,1,48.91312,-113.77982,NA
NLA06608-0834,1,33.567545,-111.5243,NA
NLA06608-0836,1,35.737293,-109.519489,NA
NLA06608-0837,1,43.3293,-113.92731,NA
NLA06608-0842,1,44.98268,-109.53908,NA
NLA06608-0843,1,33.28831,-87.14195,NA
NLA06608-0847,1,40.526946,-84.491853,NA
NLA06608-0849,1,48.099589,-124.620716,NA
NLA06608-0850,1,40.777448,-111.398528,NA
NLA06608-0851,1,45.77193,-99.64058,NA
NLA06608-0856,1,34.2863,-97.16771,NA
NLA06608-0857,1,36.18034,-79.75465,NA
NLA06608-0859,1,42.814444,-88.208889,NA
NLA06608-0860,1,41.72711,-91.52882,NA
NLA06608-0860,2,41.72683,-91.52898,NA
NLA06608-0862,1,46.139722,-90.210833,NA
NLA06608-0863,1,40.542123,-81.251349,NA
NLA06608-0864,1,38.30605,-102.75341,NA
NLA06608-0865,1,28.026103,-81.909803,NA
NLA06608-0868,1,37.618834,-87.85663,NA
NLA06608-0869,1,41.4097,-75.023889,NA
NLA06608-0870,1,44.3191,-122.0459,NA
NLA06608-0871,1,45.39281,-96.09129,NA
NLA06608-0872,1,37.7091,-97.05396,NA
NLA06608-0873,1,34.78642,-111.229307,NA
NLA06608-0874,1,43.49967,-86.02459,NA
NLA06608-0875,1,42.42488,-84.9381,NA
NLA06608-0877,1,33.400097,-114.725042,NA
NLA06608-0878,1,46.4094,-95.481,NA
NLA06608-0880,1,39.61905,-102.18572,NA
NLA06608-0881,1,44.68113,-118.0366,NA
NLA06608-0885,1,33.749299,-117.444273,NA
NLA06608-0889,1,41.22545,-116.53353,NA
NLA06608-0890,1,48.04261,-90.41644,NA
NLA06608-0891,1,41.22425,-103.81831,NA
NLA06608-0893,1,40.47058,-81.19069,NA
NLA06608-0895,1,34.36017,-109.36459,NA
