lagoslakeid,source_sample_siteid,sample_date,sample_depth_m,temp_degc,do_mgl,ph,spcond_uscm,source_value_qualifiercode,source_comments,profile
360550,NLA12_CO-119,18-Jul-12,20,4.8,6.9,7.2,12,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,0.5,10,6.6,7,11,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,3,9,6.8,6.9,NA,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,5,8.4,7.2,7.6,10,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,1,9.6,6.8,7.6,10,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,0.5,9.6,6.8,7.7,10,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,17,4.9,7.1,7.3,11,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,1,9.7,6.7,7,10,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,13,5.3,7.7,7.4,11,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,2,9.4,6.8,7.6,10,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,26,4.7,5.1,6.6,13,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,12,5.5,7.8,7.5,11,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,1,24.5,6.9,8.5,160,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,6.7,20,0.7,7.2,168,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,0.5,24.5,6.9,8.5,160,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,6,20.7,0.9,7.3,166,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,1,24.5,6.8,8.5,160,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,5,22.6,4.1,7.6,162,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,3,24.2,6.8,8.5,161,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,4,23.9,6.5,8.4,161,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,3,24.2,6.6,8.4,161,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,NA,24.3,NA,8.5,160,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,2,24.4,6.9,8.5,160,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,2,24.3,6.7,8.5,160,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,NA,24.5,NA,8.5,160,NA,NA,integrated
360271,NLA12_CO-106,20-Jul-12,NA,24.2,NA,8.4,161,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,16,9.5,2.7,7.5,160,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,15,9.5,2.2,7,160,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,21.5,9.3,2.5,7.1,161,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,14,9.5,2.3,7.1,160,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,21,9.3,2.6,7.1,161,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,0,21.2,9.1,8.2,169,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,18,9.4,2.8,7.2,160,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,11,9.7,3.8,7.2,156,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,17,9.4,2.7,7.2,160,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,19,9.3,2.7,7.1,160,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,9,10.3,4.2,7.2,151,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,0,21.2,8.6,8.1,169,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,13,9.5,2.4,7.1,159,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,12,9.6,3.1,7.1,158,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,7,12.1,5.2,7.3,147,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,8,11.4,4.6,7.2,147,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,2,21.2,8.8,8.2,169,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,20,9.3,2.6,7.1,161,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,3,21.2,8.8,8.2,169,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,10,9.9,3.8,7.2,154,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,6,14.5,6.1,7.6,148,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,1,21.2,8.9,8.2,169,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,4,21.1,8.8,8.2,169,NA,NA,integrated
480825,NLA12_CA-R01,20-Jul-12,5,19.2,7.6,7.9,168,NA,NA,integrated
93857,NLA12_NY-R04,20-Jul-12,0,21.3,8.9,8,100,NA,NA,integrated
93857,NLA12_NY-R04,20-Jul-12,1,25.7,8.1,8.6,109,NA,NA,integrated
93857,NLA12_NY-R04,20-Jul-12,0,20.3,8.7,8.2,102,NA,NA,integrated
121423,NLA12_NY-R11,19-Jul-12,1,26.5,7.8,7,27,NA,NA,integrated
121423,NLA12_NY-R11,19-Jul-12,8.9,11.5,11.4,7.4,51,NA,NA,integrated
121423,NLA12_NY-R11,19-Jul-12,7,17.7,9.7,7.4,27,NA,NA,integrated
121423,NLA12_NY-R11,19-Jul-12,0,24.5,7.8,6.9,28,NA,NA,integrated
121423,NLA12_NY-R11,19-Jul-12,4,26.6,7.7,7.1,27,NA,NA,integrated
121423,NLA12_NY-R11,19-Jul-12,0,26.7,7.3,7.3,27,NA,NA,integrated
121423,NLA12_NY-R11,19-Jul-12,8,13.8,10.9,7.6,29,NA,NA,integrated
121423,NLA12_NY-R11,19-Jul-12,2,26.6,7.8,6.9,27,NA,NA,integrated
121423,NLA12_NY-R11,19-Jul-12,6,22,8.7,7.2,26,NA,NA,integrated
121423,NLA12_NY-R11,19-Jul-12,5,26.1,7.8,7.1,27,NA,NA,integrated
121423,NLA12_NY-R11,19-Jul-12,3,26,7.7,7,27,NA,NA,integrated
476151,NLA12_CA-111,19-Jul-12,0,24.3,9,7,51,NA,NA,integrated
476151,NLA12_CA-111,19-Jul-12,2,24.1,9,7.3,51,NA,NA,integrated
476151,NLA12_CA-111,19-Jul-12,3,23.5,9.1,7.4,50,NA,NA,integrated
476151,NLA12_CA-111,19-Jul-12,4,21.4,9.5,7.5,46,NA,NA,integrated
476151,NLA12_CA-111,19-Jul-12,1,24.2,9,7.1,51,NA,NA,integrated
476151,NLA12_CA-111,19-Jul-12,4.6,21.4,9.5,7.4,46,NA,NA,integrated
476151,NLA12_CA-111,19-Jul-12,0,NA,9,NA,NA,NA,NA,integrated
367586,NLA12_NE-101,22-Jul-12,0,27.6,8.3,8.8,NA,NA,NA,integrated
367586,NLA12_NE-101,22-Jul-12,4,27.3,7,8.6,NA,NA,NA,integrated
367586,NLA12_NE-101,22-Jul-12,9,25.1,0.6,7.9,NA,NA,NA,integrated
367586,NLA12_NE-101,22-Jul-12,2,27.6,7.7,8.7,NA,NA,NA,integrated
367586,NLA12_NE-101,22-Jul-12,5,27.1,6.7,8.6,NA,NA,NA,integrated
367586,NLA12_NE-101,22-Jul-12,0,27.6,7.8,8.8,NA,NA,NA,integrated
367586,NLA12_NE-101,22-Jul-12,9.7,24.9,0.3,7.9,NA,NA,NA,integrated
367586,NLA12_NE-101,22-Jul-12,3,27.5,7.5,8.7,NA,NA,NA,integrated
367586,NLA12_NE-101,22-Jul-12,8,25.9,2.7,8.2,NA,NA,NA,integrated
367586,NLA12_NE-101,22-Jul-12,6,26.9,6.5,8.6,NA,NA,NA,integrated
367586,NLA12_NE-101,22-Jul-12,1,27.6,7.9,8.7,NA,NA,NA,integrated
367586,NLA12_NE-101,22-Jul-12,7,26.5,4.9,8.5,NA,NA,NA,integrated
337268,NLA12_ND-114,23-Jul-12,1,26.5,5.2,8.3,756,NA,NA,integrated
337268,NLA12_ND-114,23-Jul-12,0,26.5,5.5,8.2,756,NA,NA,integrated
337268,NLA12_ND-114,23-Jul-12,0.5,26.5,5.5,8.2,756,NA,NA,integrated
337268,NLA12_ND-114,23-Jul-12,1.3,26.5,5.2,8.3,756,NA,NA,integrated
337268,NLA12_ND-114,23-Jul-12,0,26.5,5.2,8.3,756,NA,NA,integrated
347275,NLA12_SD-133,23-Jul-12,1,26.6,7.3,8.6,811,NA,NA,integrated
347275,NLA12_SD-133,23-Jul-12,0,26.7,7.4,8.6,811,NA,NA,integrated
347275,NLA12_SD-133,23-Jul-12,0,26.7,7.4,8.6,811,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,1,24.8,5.7,6.4,41,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,3,23.9,5.6,6.5,42,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,8,16.6,7.5,6.7,39,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,9,15.8,7.6,6.7,39,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,5,20.8,6.3,6.7,40,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,11,10.8,7.7,6.5,41,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,14.9,7.4,4.3,5.9,44,NA,NA,integrated
