State,CharacteristicName,n
KS,Chlorophyll a,3352
KS,"Color, apparent",NA
KS,"Color, true",NA
KS,Conductivity,3602
KS,Depth,619
KS,E. coli,129
KS,E. coli-CFU,48
KS,E. coli-MPN,148
KS,"Magnesium, dissolved",416
KS,"Mercury, dissolved",1
KS,"Mercury, total",60
KS,"Methylmercury, dissolved",NA
KS,Microcystin,380
KS,"Nitrogen, NH4",349
KS,"Nitrogen, nitrite (NO2)",172
KS,"Nitrogen, nitrite (NO2) + nitrate (NO3)",761
KS,"Nitrogen, total",145
KS,"Nitrogen, total dissolved",82
KS,"Nitrogen, total dissolved Kjeldahl",133
KS,"Nitrogen, total Kjeldahl",1786
KS,"Oxygen, dissolved",6203
KS,"pH, equilibrated",1964
KS,"Phosphorus, soluable reactive orthophosphate",1010
KS,"Phosphorus, total",2420
KS,"Phosphorus, total dissolved",NA
KS,Potassium,1960
KS,Salinity,NA
KS,Secchi,1298
KS,"Selenium, dissolved",4
KS,"Selenium, total",375
KS,"Silica, dissolved",428
KS,Sodium,1989
KS,"Solids, total suspended",2720
KS,"Sulfate, dissolved",435
KS,Turbidity,2067
KY,Alkalinity,1340
KY,"Aluminum, dissolved",223
KY,"Aluminum, total",996
KY,ANC,NA
KY,"Arsenic, dissolved",70
KY,"Arsenic, total",217
KY,"Atrazine, dissolved",NA
KY,"Calcium, dissolved",88
KY,"Carbon, dissolved organic",NA
KY,"Carbon, total inorganic",NA
KY,"Carbon, total organic",1296
KY,"Chloride, dissolved",NA
KY,Chlorophyll a,2053
KY,"Color, apparent",NA
KY,"Color, true",NA
KY,Conductivity,28087
KY,Depth,1147
KY,E. coli,NA
KY,E. coli-CFU,NA
KY,E. coli-MPN,NA
KY,"Magnesium, dissolved",88
KY,"Mercury, dissolved",NA
KY,"Mercury, total",2
KY,"Methylmercury, dissolved",NA
KY,Microcystin,NA
KY,"Nitrogen, NH4",13
KY,"Nitrogen, nitrite (NO2)",16
KY,"Nitrogen, nitrite (NO2) + nitrate (NO3)",18
KY,"Nitrogen, total",23
KY,"Nitrogen, total dissolved",NA
KY,"Nitrogen, total dissolved Kjeldahl",NA
KY,"Nitrogen, total Kjeldahl",1128
KY,"Oxygen, dissolved",27960
KY,"pH, equilibrated",27616
KY,"Phosphorus, soluable reactive orthophosphate",1350
KY,"Phosphorus, total",1354
